City;Country;ID
Bursa;TR;
Bandirma;TR;
Canakkale;TR;
Agri;TR;
Kars;TR;
Erzurum;TR;
Erzincan;TR;
Sivas;TR;
Gumushane;TR;
Amasya;TR;
Cankiri;TR;
Karabük Kapullu;TR;
Duzce;TR;
Kumkoy;TR;
Tekirdag;TR;
Kirklareli;TR;
Trabzon;TR;
Giresun;TR;
Carsamba;TR;
Sinop;TR;
Syros;GR;
Levitha;GR;
Karpathos;GR;
Kasteli;GR;
Souda;GR;
Milos;GR;
Methoni;GR;
Zakinthos;GR;
Athenes;GR;
Tripolis;GR;
Chios;GR;
Skyros Island;GR;
Lamia;GR;
Limnos;GR;
Larissa;GR;
Aktion;GR;
Ioannina;GR;
Alexandroupoli;GR;
Chrysoupoli;GR;
Thessaloniki;GR;
Kastoria;GR;
Luqa;MT;
Cagliari;IT;
Sassari;IT;
Olbia;IT;
Oristano;IT;
Lampedusa;IT;
Gela;IT;
Catania;IT;
Sciacca;IT;
Reggio Calabria;IT;
Palermo;IT;
Catanzaro;IT;
Lecce;IT;
Scalea;IT;
Policoro;IT;
Napoli;IT;
Caserta;IT;
Ponza;IT;
Bari;IT;
Vieste;IT;
Roma;IT;
Pescara;IT;
Terni;IT;
Grosseto;IT;
Ancona;IT;
Arezzo;IT;
Pisa;IT;
San Marino;SM;
Bologna;IT;
Ferrara;IT;
Genoa;IT;
Trieste;IT;
Venezia;IT;
Verona;IT;
Milano;IT;
Torino;IT;
Aosta;IT;
Tarvisio;IT;
Dobbiaco;IT;
Trento;IT;
S. Valentino Alla Muta;IT;
Kurdjali;BG;
Sandanski;BG;
Burgas;BG;
Sliven;BG;
Varna;BG;
Razgrad;BG;
Vidin;BG;
Mangalia;RO;
Turnu Magurele;RO;
Calarasi;RO;
Videle;RO;
Gura Portitei;RO;
Biclesu;RO;
Grivita;RO;
Moldova Veche;RO;
Ploiesti;RO;
Curtea De Arges;RO;
Tirgu Jiu;RO;
Resita;RO;
Rimnicu Sarat;RO;
Brasov;RO;
Sibiu;RO;
Deva;RO;
Arad;RO;
Tirgu Ocna;RO;
Odorheiu;RO;
Baisoara;RO;
Holod;RO;
Negresti;RO;
Ceahlau Toaca;RO;
Bistrita;RO;
Supuru De Jos;RO;
Suceava;RO;
Sighetu Marmatiei;RO;
Neum;BA;
Sarajevo;BA;
Tuzla;BA;
Banja Luka;BA;
Split;HR;
Dubrovnik;HR;
Zadar;HR;
Karlovac;HR;
Rijeka;HR;
Pula;HR;
Varazdin;HR;
Tirana;AL;
Saranda;AL;
Skopje;MK;
Prilep;MK;
Vranje;RS;
Podgorica;ME;
Cuprija;RS;
Kopaonik;RS;
Pozega Uzicka;RS;
Beograd;RS;
Zrenjanin;RS;
Sombor;RS;
Budapest;HU;
Pecs;HU;
Szeged;HU;
Eger;HU;
Debrecen;HU;
Sopron;HU;
Szolnok;HU;
Lesko;PL;
Nowy Sacz;PL;
Bielsko-Biala;PL;
Sandomierz;PL;
Czestochowa;PL;
Klodzko;PL;
Wlodawa;PL;
Kozienice;PL;
Lodz;PL;
Wroclaw;PL;
Leszno;PL;
Warszawa;PL;
Poznan;PL;
Gorzow Wielkopolski;PL;
Bialystok;PL;
Ostroleka;PL;
Mikolajki;PL;
Torun;PL;
Chojnice;PL;
Resko;PL;
Gdansk;PL;
Ustka;PL;
Poprad;SK;
Sliac;SK;
Zilina;SK;
Jaslovske Bohunice;SK;
Ostrava;CZ;
Brno;CZ;
Liberec;CZ;
Praha;CZ;
Ceske Budejovice;CZ;
St.Poelten;AT;
Vienne;AT;
Graz;AT;
Schwerin;DE;
Andorra;AD;
Lisboa;PT;
Braganca;PT;
Portalegre;PT;
Castelo Branco;PT;
Penhas Douradas;PT;
Vila Real;PT;
Beja;PT;
Faro;PT;
Porto;PT;
Monte Real;PT;
Almeria;ES;
Torrox;ES;
Cadix;ES;
Ronda;ES;
Murcia;ES;
Sevilla;ES;
Jaén;ES;
Badajoz;ES;
Caceres;ES;
Cordoba;ES;
Ibiza;ES;
Palma de Mallorca;ES;
Albacete;ES;
Valencia;ES;
Ciudad Real;ES;
Toledo;ES;
Madrid;ES;
Cuenca;ES;
Salamanca;ES;
Teruel;ES;
Zamora;ES;
Castellón de la Plana;ES;
Valladolid;ES;
Tarragona;ES;
Zaragoza;ES;
Aranda de Duero;ES;
Almaden;ES;
Oropesa;ES;
Leon;ES;
Vigo;ES;
La Coruna;ES;
Lugo;ES;
Gijon;ES;
Santander;ES;
Burgos;ES;
Bilbao;ES;
Logrono;ES;
Pampelona;ES;
Lerida;ES;
Girona;ES;
Valladolid;ES;
Barcelona;ES;
Manresa;ES;
Calamocha;ES;
Carrion de Los Condes;ES;
Soria;ES;
Peniscola;ES;
Segovia;ES;
Xinzo de Limia;ES;
Guadalajara;ES;
Fisterra;ES;
Siguenza;ES;
Riopar;ES;
Huelva;ES;
Ponferrada;ES;
Perpignan;FR;
Foix;FR;
Narbonne;FR;
Montpellier;FR;
Toulouse;FR;
Pau;FR;
Biarritz;FR;
Mont-de-Marsan;FR;
Bordeaux;FR;
Auch;FR;
Agen;FR;
Bergerac;FR;
Cahors;FR;
Aurillac;FR;
Rodez;FR;
Albi;FR;
Mende;FR;
Millau;FR;
Le Puy en Velay;FR;
Clermont-Ferrand;FR;
Limoges;FR;
Avignon;FR;
Marseille;FR;
Nice;FR;
Gap;FR;
Valence;FR;
Grenoble;FR;
Lyon;FR;
Angoulême;FR;
Royan;FR;
La Rochelle;FR;
Poitiers;FR;
La Roche sur Yon;FR;
St-Nazaire;FR;
Nantes;FR;
Angers;FR;
Tours;FR;
Chateauroux;FR;
Brive la Gaillarde;FR;
Montlucon;FR;
Bourges;FR;
Bourg en Bresse;FR;
Dijon;FR;
Besancon;FR;
Mulhouse;FR;
Strasbourg;FR;
Metz;FR;
Bale;CH;
Zurich;CH;
Liechtenstein;LI;
La Chaux-De-Fonds;CH;
Bruxelles;BE;
Amsterdam;NL;
Rotterdam;NL;
Groningen;NL;
Copenhagen;DK;
Odense;DK;
Aarhus;DK;
Aalborg;DK;
Esbjerg;DK;
Horsens;DK;
Anholt;DK;
Hostelbro;DK;
Frederikshaven;DK;
Thisted;DK;
Dalatangi;IS;
Grimsey;IS;
Hveravellir;IS;
Vestmannaeyjabær;IS;
Blönduós;IS;
Reykjavik;IS;
Bolungarvík;IS;
Gufuskalar;IS;
Skjaldthingsstadir;IS;
Hornafjordur;IS;
Limerick;IE;
Sligo;IE;
Belmullet;IE;
Galway;IE;
Dublin;IE;
Dundalk;IE;
Wexford;IE;
Cork;IE;
Valentia;IE;
Belfast;GB;
Douglas;GB;
Penzance;GB;
Exeter;GB;
Plymouth;GB;
Bristol;GB;
London;GB;
Bournemouth;GB;
Ipswitch;GB;
Peterborough;GB;
Norwich;GB;
Birmingham;GB;
Leicester;GB;
Cardiff;GB;
Swansea;GB;
Milford Haven;GB;
Holyhead;GB;
Liverpool;GB;
Manchester;GB;
Stoke on Trent;GB;
Sheffield;GB;
Hull;GB;
Leeds;GB;
Carlisle;GB;
Newcastle;GB;
Middlesbrough;GB;
Glasgow;GB;
Edimburg;GB;
Aberdeen;GB;
Inverness;GB;
Wick;GB;
Stornoway;GB;
Sule Skerry;GB;
Fair Isle;GB;
Baltasound;GB;
Helsinki;FI;
Market;FI;
Russaro;FI;
Bogskar;FI;
Turku;FI;
Lahti;FI;
Kuopio;FI;
Pori;FI;
Savonlinna;FI;
Jämsä;FI;
Ilomantsi;FI;
Kaskinen;FI;
Multia;FI;
Pietarsaari;FI;
Vaasa;FI;
Ulkokalla;FI;
Kajaani;FI;
Utsjoki;FI;
Suomussalmi;FI;
Kittila;FI;
Ranua;FI;
Oulu;FI;
Kuusamo;FI;
Inari;FI;
Salla;FI;
Pello;FI;
Kilpisjarvi;FI;
Hoburg;SE;
Kalmar;SE;
Kristianstad;SE;
Ljungby;SE;
Visby;SE;
Gotska;SE;
Smhi;SE;
Hultsfred;SE;
Visingsoe;SE;
Kroppefjaell;SE;
Stockholm;SE;
Kerstinbo;SE;
Kilsbergen;SE;
Mora;SE;
Gustavsfors;SE;
Blomskog;SE;
Lungo;SE;
Kuggoren;SE;
Hunge;SE;
Hamra;SE;
Tannas;SE;
Skelleftea;SE;
Umea;SE;
Lycksele;SE;
Krangede;SE;
Foellinge;SE;
Gaddede;SE;
Sylarna;SE;
Storoen;SE;
Nattavaara;SE;
Vidsel;SE;
Malaa-Braennan;SE;
Mierkenis;SE;
Gielas;SE;
Kiruna;SE;
Katterjakk;SE;
Ritsem;SE;
Oslo;NO;
Porsgrunn;NO;
Torungen;NO;
Nesflaten;NO;
Kristiansand;NO;
Stavanger;NO;
Haugesund;NO;
Ekofisk;NO;
Trysil;NO;
Flisa;NO;
Favang;NO;
Nesbyen;NO;
Sognefjell;NO;
Reimegrend;NO;
Forde;NO;
Gullfaks;NO;
Namsos;NO;
Trondheim;NO;
Folldal;NO;
Halten;NO;
Lebergsfjellet;NO;
Krakenes;NO;
Sortland;NO;
Bodo;NO;
Somna;NO;
Seljelia;NO;
Makkaur;NO;
Honningsvag;NO;
Alta;NO;
Hasvik;NO;
Torsvag;NO;
Hekkingen;NO;
Jan Mayen;NO;
Nancy;FR;
Chaumont;FR;
Troyes;FR;
Auxerre;FR;
Reims;FR;
Fira;GR;
Sharm El Sheikhintl;EG;
St Catherine;EG;
Brunswick;DE;
Innsbruck;AT;
Linz;AT;
Salzburg;AT;
Luxemburg;LU;
Sofia;BG;
Stara Zagora;BG;
Genève;CH;
Sion;CH;
Nicosie;CY;
Plzen;CZ;
Talinn;EE;
Rakvere;EE;
Jyvaskyla;FI;
Rovaniemi;FI;
Saint-Dizier;FR;
Orléans;FR;
Chartres;FR;
Melun;FR;
Paris;FR;
Evreux;FR;
Alencon;FR;
Caen;FR;
Le Mans;FR;
Rennes;FR;
Lorient;FR;
Brest;FR;
Saint-Brieuc;FR;
Cherbourg;FR;
Rouen;FR;
Beauvais;FR;
Amiens;FR;
Le Havre;FR;
Boulogne-sur-Mer;FR;
Calais;FR;
Dunkerque;FR;
Lille;FR;
Arras;FR;
Compiègne;FR;
Laon;FR;
Maubeuge;FR;
Charleville-Mezieres;FR;
Verdun;FR;
Tiree;GB;
Kasos;GR;
Patras;GR;
Zagreb;HR;
Osijek;HR;
Slavonski Brod;HR;
Malin Head;IE;
Gaza;IL;
Caloforte;IT;
Capri;IT;
Firenze;IT;
Parma;IT;
Kaunas;LT;
Klaipeda;LT;
Tanger;MA;
Bastia;FR;
Ajaccio;FR;
Eindhoven;NL;
Enschede;NL;
Bucarest;RO;
Cluj-Napoca;RO;
Timisoara;RO;
Iasi;RO;
Novi Sad;RS;
Pristina;RS;
Goteborg;SE;
Jonkoping;SE;
Linkoping;SE;
Orebro;SE;
Bratislava;SK;
Kosice;SK;
Nitra;SK;
Homs;SY;
Alep;SY;
Tunis;TN;
Istanbul;TR;
Kyiv;UA;
